iter	Passed	Remaining
0	0	777
1	1	731
2	2	720
3	2	733
4	3	722
5	4	735
6	5	739
7	5	733
8	6	730
9	7	728
10	8	726
11	8	730
12	9	731
13	10	729
14	11	728
15	11	727
16	12	728
17	13	729
18	14	730
19	14	732
20	15	730
21	16	732
22	17	732
23	17	731
24	18	737
25	19	737
26	20	736
27	21	736
28	21	734
29	22	732
30	23	730
31	24	729
32	24	725
33	25	724
34	26	725
35	27	724
36	27	722
37	28	723
38	29	723
39	30	720
40	30	719
41	31	716
42	33	735
43	33	732
44	34	731
45	35	731
46	36	730
47	36	729
48	37	728
49	38	727
50	39	726
51	39	725
52	40	724
53	41	722
54	42	721
55	42	721
56	43	718
57	44	717
58	45	718
59	45	718
60	46	716
61	47	714
62	48	714
63	48	713
64	49	713
65	50	714
66	51	712
67	51	711
68	52	711
69	53	710
70	54	709
71	55	710
72	55	708
73	56	707
74	57	707
75	58	705
76	58	705
77	59	703
78	60	702
79	61	701
80	61	700
81	62	699
82	63	699
83	64	697
84	64	697
85	65	697
86	66	697
87	67	697
88	68	697
89	69	697
90	69	698
91	71	708
92	72	707
93	73	707
94	74	706
95	74	706
96	75	704
97	76	703
98	77	702
99	77	701
100	78	700
101	79	698
102	80	697
103	80	696
104	81	695
105	82	694
106	83	693
107	83	692
108	84	691
109	85	690
110	86	689
111	86	688
112	87	687
113	88	685
114	89	692
115	90	691
116	91	691
117	92	690
118	93	689
119	93	688
120	94	687
121	95	686
122	96	685
123	96	683
124	97	682
125	98	682
126	99	680
127	99	679
128	100	678
129	101	677
130	101	675
131	102	674
132	103	673
133	104	673
134	105	674
135	106	674
136	107	674
137	107	673
138	108	672
139	109	672
140	110	672
141	111	670
142	111	670
143	112	670
144	113	669
145	114	668
146	115	672
147	117	673
148	117	673
149	118	672
150	119	672
151	120	672
152	121	671
153	122	670
154	122	669
155	123	668
156	124	667
157	125	667
158	126	666
159	126	665
160	128	668
161	128	667
162	129	666
163	130	665
164	131	663
165	131	662
166	132	661
167	133	660
168	134	659
169	135	659
170	136	662
171	137	661
172	138	660
173	138	659
174	139	658
175	140	656
176	141	655
177	141	654
178	142	653
179	143	652
180	143	651
181	144	650
182	145	649
183	146	648
184	146	647
185	147	646
186	148	645
187	149	644
188	149	643
